"modelo","variavel","coeficiente","erro_padrao","estatistica","p_valor"
"FE dinamico - VC_AI","lag_npl",0.827425478158162,0.060292565836937,13.7235074784503,5.0062873832576e-22
"FE dinamico - VC_AI","log_vc_ai",-0.0466804357507097,0.0742863039952344,-0.628385492885799,0.531686176601849
"FE dinamico - VC_AI","credit_growth",0.0388994157557408,0.0200810654587346,1.93711911530176,0.0565479677696954
"FE dinamico - VC_AI","nim",1.73751913819119,0.571692463334413,3.03925493097646,0.00327705816231318
"FE dinamico - VC_AI","gdp_growth",-0.0130507806704173,0.0118914958833961,-1.0974885580745,0.275986274595596
"FE dinamico - VC_AI","inflation",0.201806970668846,0.0745108001547079,2.7084257617665,0.00839302959475012
"FE dinamico - VC_AI","unemployment",0.70879566256594,0.170906079544756,4.14728173774722,8.87140406403848e-05
"FE dinamico - VC_AI","covid",0.141207766984466,0.421859972348161,0.33472663025713,0.738778238884035
"Difference GMM - VC_AI","lag(npl, 1)",0.332159899277547,0.109821408701205,3.02454597155338,0.00249006625440565
"Difference GMM - VC_AI","log_vc_ai",12.4106671769448,8.98324464837981,1.3815350313523,0.167114514365662
"Difference GMM - VC_AI","credit_growth",-0.134549516453662,0.392544755359826,-0.342762231864051,0.731777341175868
"Difference GMM - VC_AI","nim",11.6958597920986,8.38203973362255,1.39534769146745,0.162911016991892
"Difference GMM - VC_AI","gdp_growth",-0.264681978759962,0.312600991561388,-0.846708698644624,0.397157509007816
"Difference GMM - VC_AI","inflation",-1.40674495881623,1.33820581794222,-1.0512171894301,0.293158850124929
"Difference GMM - VC_AI","unemployment",5.66817429671886,2.23799409601979,2.53270297129003,0.0113186819151781
"Difference GMM - VC_AI","covid",-11.7698963305021,7.03862985043129,-1.67218572088727,0.0944877053034498
"System GMM - VC_AI","lag(npl, 1)",0.393662497411768,0.255190181841041,1.54262399349275,0.122922033007746
"System GMM - VC_AI","log_vc_ai",-1.54042128832274,0.828541424031669,-1.85919646699989,0.0629992954275504
"System GMM - VC_AI","credit_growth",0.199664643356486,0.151320937662387,1.31947796809162,0.187009370968846
"System GMM - VC_AI","nim",1.49813564031847,1.75384618525132,0.854200130499922,0.392994110903572
"System GMM - VC_AI","gdp_growth",0.120792773491647,0.13562062100262,0.890666718664506,0.373107994504593
"System GMM - VC_AI","inflation",-0.032443141280635,0.208851280505242,-0.15534087797858,0.876552590763727
"System GMM - VC_AI","unemployment",0.988970019524633,0.66612866472383,1.48465314870461,0.137635728590687
"System GMM - VC_AI","covid",0.10999378470234,1.46269523234889,0.075199386905572,0.940056072153469
