"country","year","npl","nim","loans","credit_growth","vc_ai","log_vc_ai","lag_vc_ai","lag_log_vc_ai","gdp_growth","inflation","unemployment","covid","lag_npl","lag_nim","lag_credit","lag_gdp_growth","lag_inflation","lag_unemployment"
"Germany",2020,1.2061,0.96,1145928.33333333,5.61500355259417,1956.3006745,7.57932159611579,2172.0122045,7.68386959666956,-2.3471996281664,0.4,3.6,1,1.234075,0.985,7.05571005836152,2.94258373205742,1.4,2.9
"Germany",2021,1.1149,0.8525,1182474.66666667,3.18923376534601,6257.891012,8.74175829376782,1956.3006745,7.57932159611579,6.87767729652546,3.2,3.6,1,1.2061,0.96,5.61500355259417,-2.3471996281664,0.4,3.6
"Germany",2022,1.0491,0.89,1292665.08333333,9.31862810873467,4766.069039,8.46948693779347,6257.891012,8.74175829376782,7.63749721665554,8.7,3.1,0,1.1149,0.8525,3.18923376534601,6.87767729652546,3.2,3.6
"Germany",2023,1.1856,1.125,1353313.66666667,4.69174762398177,3285.671525,8.0976306371222,4766.069039,8.46948693779347,4.79933802234174,6,3.1,0,1.0491,0.89,9.31862810873467,7.63749721665554,8.7,3.1
"Greece",2015,43.25225,2.86,93275.6666666667,NA,NA,NA,NA,NA,NA,-1.1,25,0,NA,NA,NA,NA,NA,NA
"Greece",2016,46.928825,2.9175,89639.3658333333,-3.89844528941097,NA,NA,NA,NA,-0.12338062924121,0,23.9,0,43.25225,2.86,NA,NA,-1.1,25
"Greece",2017,46.30795,3.215,85593.5,-4.51349225390083,0.225198,0.203102463588602,NA,NA,1.85299567634343,1.1,21.8,0,46.928825,2.9175,-3.89844528941097,-0.12338062924121,0,23.9
"Greece",2018,43.87205,3.06,80062.1666666667,-6.46232872044411,0.356504,0.304910801877706,0.225198,0.203102463588602,2.06185567010309,0.8,19.7,0,46.30795,3.215,-4.51349225390083,1.85299567634343,1.1,21.8
"Greece",2019,38.6313,2.895,70766.5,-11.6105609599207,0.4,0.336472236621213,0.356504,0.304910801877706,2.61437908496731,0.5,17.9,0,43.87205,3.06,-6.46232872044411,2.06185567010309,0.8,19.7
"Greece",2020,30.38375,2.5475,68101.5833333333,-3.76578842625631,4.663602,1.7340600855609,0.4,0.336472236621213,-9.32252460914881,-1.3,17.6,1,38.6313,2.895,-11.6105609599207,2.61437908496731,0.5,17.9
