"modelo","variavel","coeficiente","erro_padrao","estatistica","p_valor"
"FE dinamico - VC_AI","lag_npl",0.827425478158162,0.060292565836937,13.7235074784503,5.0062873832576e-22
"FE dinamico - VC_AI","log_vc_ai",-0.0466804357507097,0.0742863039952344,-0.628385492885799,0.531686176601849
"FE dinamico - VC_AI","credit_growth",0.0388994157557408,0.0200810654587346,1.93711911530176,0.0565479677696954
"FE dinamico - VC_AI","nim",1.73751913819119,0.571692463334413,3.03925493097646,0.00327705816231318
"FE dinamico - VC_AI","gdp_growth",-0.0130507806704173,0.0118914958833961,-1.0974885580745,0.275986274595596
"FE dinamico - VC_AI","inflation",0.201806970668846,0.0745108001547079,2.7084257617665,0.00839302959475012
"FE dinamico - VC_AI","unemployment",0.70879566256594,0.170906079544756,4.14728173774722,8.87140406403848e-05
"FE dinamico - VC_AI","covid",0.141207766984466,0.421859972348161,0.33472663025713,0.738778238884035
"FE dinamico - VC_AI defasado","lag_npl",0.818929386952097,0.0590140480140737,13.8768549948785,3.67571472800772e-22
"FE dinamico - VC_AI defasado","lag_log_vc_ai",-0.00212988971584283,0.139571933447588,-0.0152601577067258,0.987866258636476
"FE dinamico - VC_AI defasado","credit_growth",0.0181069446220066,0.0172189749579883,1.05156925230363,0.29646579736495
"FE dinamico - VC_AI defasado","nim",1.34425136702989,0.635362648022208,2.11572299884853,0.0377799573192319
"FE dinamico - VC_AI defasado","gdp_growth",-0.0236815977035254,0.0123690762862744,-1.91458094003383,0.0594649684416971
"FE dinamico - VC_AI defasado","inflation",0.164574092584883,0.0811787919534363,2.02730403624732,0.0462830043890701
"FE dinamico - VC_AI defasado","unemployment",0.57154672520275,0.14380004884778,3.9745934009227,0.000163975309522852
"FE dinamico - VC_AI defasado","covid",-0.0366509757965699,0.381763774797254,-0.0960043309924686,0.923780201728459
"Difference GMM - VC_AI","lag(npl, 1)",0.332159899277547,0.109821408701205,3.02454597155338,0.00249006625440565
"Difference GMM - VC_AI","log_vc_ai",12.4106671769448,8.98324464837981,1.3815350313523,0.167114514365662
"Difference GMM - VC_AI","credit_growth",-0.134549516453662,0.392544755359826,-0.342762231864051,0.731777341175868
"Difference GMM - VC_AI","nim",11.6958597920986,8.38203973362255,1.39534769146745,0.162911016991892
"Difference GMM - VC_AI","gdp_growth",-0.264681978759962,0.312600991561388,-0.846708698644624,0.397157509007816
"Difference GMM - VC_AI","inflation",-1.40674495881623,1.33820581794222,-1.0512171894301,0.293158850124929
"Difference GMM - VC_AI","unemployment",5.66817429671886,2.23799409601979,2.53270297129003,0.0113186819151781
"Difference GMM - VC_AI","covid",-11.7698963305021,7.03862985043129,-1.67218572088727,0.0944877053034498
"System GMM - VC_AI","lag(npl, 1)",0.393662497411768,0.255190181841041,1.54262399349275,0.122922033007746
"System GMM - VC_AI","log_vc_ai",-1.54042128832274,0.828541424031669,-1.85919646699989,0.0629992954275504
"System GMM - VC_AI","credit_growth",0.199664643356486,0.151320937662387,1.31947796809162,0.187009370968846
"System GMM - VC_AI","nim",1.49813564031847,1.75384618525132,0.854200130499922,0.392994110903572
"System GMM - VC_AI","gdp_growth",0.120792773491647,0.13562062100262,0.890666718664506,0.373107994504593
"System GMM - VC_AI","inflation",-0.032443141280635,0.208851280505242,-0.15534087797858,0.876552590763727
"System GMM - VC_AI","unemployment",0.988970019524633,0.66612866472383,1.48465314870461,0.137635728590687
"System GMM - VC_AI","covid",0.10999378470234,1.46269523234889,0.075199386905572,0.940056072153469
"Difference GMM - VC_AI defasado","lag(npl, 1)",0.36379355215358,0.298471947307558,1.21885341465177,0.222899833762977
"Difference GMM - VC_AI defasado","lag_log_vc_ai",2.82109203525187,2.19492246621317,1.2852809512306,0.198694124233821
"Difference GMM - VC_AI defasado","credit_growth",0.0206944646019278,0.185513742731994,0.111552191752309,0.911178480782768
"Difference GMM - VC_AI defasado","nim",-4.36363387575193,3.53484034370244,-1.23446420530026,0.217029976969452
"Difference GMM - VC_AI defasado","gdp_growth",-0.0896890878995729,0.215302501103007,-0.416572438499741,0.676991172493691
"Difference GMM - VC_AI defasado","inflation",-0.288117612610232,0.678846776943059,-0.424422155921055,0.671257965383271
"Difference GMM - VC_AI defasado","unemployment",4.21363905884144,2.52751056519046,1.66711036419502,0.0954924616589516
"Difference GMM - VC_AI defasado","covid",-4.23422615984742,3.41461969825691,-1.2400286222237,0.214964807704588
"System GMM - VC_AI defasado","lag(npl, 1)",0.27376098080007,0.299515359859873,0.914013160888135,0.360709930278089
"System GMM - VC_AI defasado","lag_log_vc_ai",-1.84126441026015,1.05158382268236,-1.75094402418962,0.0799555524810958
"System GMM - VC_AI defasado","credit_growth",0.101870390811816,0.0841079834905406,1.21118574699003,0.225824224039556
"System GMM - VC_AI defasado","nim",4.23372988917572,3.0659992757039,1.38086460839223,0.167320593654096
"System GMM - VC_AI defasado","gdp_growth",0.0511160001280402,0.159314166593131,0.320850312443237,0.748323829573851
"System GMM - VC_AI defasado","inflation",0.280632750063589,0.365098988937629,0.768648390071356,0.442102070629175
"System GMM - VC_AI defasado","unemployment",0.724623828614426,0.861300835652572,0.84131327710301,0.400172454514356
"System GMM - VC_AI defasado","covid",0.561249872037479,2.76826735763511,0.202744099297167,0.839335052659598
